page_path,tot,money_diff%,early_diff%,services_diff%,scaleups_diff%,others_diff%
/articles/pre-seed-funding-101/,570,-0.2622432492,1.695624689,0.1313976493,-0.319686965,-0.3201078447
/articles/october-seed-rounds/,565,-0.04876673282,0.8936691627,0.450944938,-0.2775436797,-0.4641336719
/articles/top-proptech-startups/,563,0.0420578393,0.2431163302,0.5920018704,-0.4199817819,-0.340335542
/articles/best-job-interview-questions/,557,-0.1455887136,-0.1912137754,0.9035077757,0.2458156116,0.0001555381346
/articles/revolut-tesseract-78m/,551,0.1727167865,0.1679904774,-0.1073133684,0.7779505814,-0.5384352825
/articles/what-is-climate-fintech/,544,-0.03090040861,0.4048359729,0.5069556801,-0.5497928445,-0.2208267177
/articles/swiss-startups-2022/,540,0.1738129768,0.474831309,-0.08912901113,-0.3952773022,-0.4692277098
/articles/startups-pay-first-employees/,535,-0.3826857805,1.586280222,0.6753215945,0.2970454125,-0.3510842396
/articles/six-european-bootstrapped-startups/,533,0.08531570156,-0.04914508815,0.1894300342,0.5699531576,-0.3259277471
/articles/equation-europe-vc-fund/,522,0.5561765611,-0.4452045232,-0.2252361704,-0.6090154971,-0.6674617512
/articles/europe-deeptech-soonicorns/,520,0.02171697118,0.6707879165,0.008964787668,-0.3720187369,-0.3090759407
/articles/invest-in-vc-platform-further/,518,0.215745869,0.04050927735,0.4770880901,-0.4089944677,-0.540203242
/articles/saul-klein-localglobe-brunch/,512,0.2540318399,-0.1201290486,0.1101240177,-0.1628960702,-0.4480855917
/articles/klarna-second-round-layoffs/,510,-0.2196925728,0.7508692546,0.2430709966,1.361086415,-0.3034438213
/articles/revenue-based-financing-recession/,508,0.02566182435,0.5677340687,0.1618984267,0.3659828655,-0.4675795314
/articles/european-fintech-funding-q4-2022/,501,0.1382594298,0.156100754,0.04722892133,0.6294922993,-0.4923709394
/articles/italian-startups-to-watch-according-to-vcs-europe/,501,0.08093701249,0.5093537621,-0.1709437706,0.2221192245,-0.3956796898
/articles/healthtech-angel-investors-list/,497,-0.2735755288,1.816396354,-0.05430698138,-0.3840224029,-0.2771015879
/articles/coo-salary/,495,0.01115751572,0.4463910359,0.3249032565,0.7317059072,-0.5106836761
/articles/evrensel-capital-partners-athena-anthony-moore/,492,0.04233925239,0.2753530167,0.1996837414,-0.3362799659,-0.2287300627
/articles/sunak-future-fund-companies-bust/,491,-0.03909482851,0.7694698912,0.02403418708,0.2885766243,-0.3751500304
/articles/brunch-sophia-bendz-investor-spotify/,484,0.1697630724,0.3462960484,0.4001818507,-0.1988048968,-0.6163315188
/articles/dutch-startups-to-watch-vc/,478,0.1157827378,0.3968543018,-0.1539189978,0.152831712,-0.4003827684
/articles/northzone-1bn-fund/,477,0.2600373775,-0.004973730892,0.03117470438,-0.4865562,-0.4245147637
/articles/september-2022-seed-investment/,466,-0.0271619606,0.9679762298,0.2666188858,-0.4306393055,-0.4455815043
